force,incidents
Avon & Somerset,12
Cambridgeshire,4
Cheshire,5
City of London,2
Cumbria,2
Devon & Cornwall,7
Dorset,3
Essex,7
Gloucestershire,8
Greater Manchester,2
Gwent,2
Hampshire,2
Hertfordshire,2
Humberside,13
Kent,10
Lancashire,5
Leicestershire,7
Lincolnshire,1
Merseyside,5
Norfolk,1
North Wales,1
Northumbria,4
Nottinghamshire,4
South Wales,4
South Yorkshire,4
Staffordshire,1
Suffolk,1
Surrey,4
Sussex,5
Thames Valley,6
Warwickshire,2
West Mercia,5
West Midlands,3
West Yorkshire,6
Wiltshire,3
